,name,category,artist,popularity,urls,imgs
0,As It Was,happy,Harry Styles,93,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
1,Break it off - Bonus,happy,PinkPantheress,77,https://open.spotify.com/track/78ul3D77noQsYjSwvwiPU1,https://i.scdn.co/image/ab67616d0000b27312c2eefb1d28509c632d915d
2,Maps,happy,Maroon 5,86,https://open.spotify.com/track/4gbVRS8gloEluzf0GzDOFc,https://i.scdn.co/image/ab67616d0000b273442b53773d50e1b5369bb16c
3,Don't Worry Be Happy,happy,Bobby McFerrin,71,https://open.spotify.com/track/4hObp5bmIJ3PP3cKA9K9GY,https://i.scdn.co/image/ab67616d0000b273a88b9eddbf3650ea0529f2cc
4,Best Day Of My Life,happy,American Authors,81,https://open.spotify.com/track/5Hroj5K7vLpIG4FNCRIjbP,https://i.scdn.co/image/ab67616d0000b273cc761ba55b0e7abad4539abe
5,Walking On Sunshine,happy,Katrina & The Waves,81,https://open.spotify.com/track/05wIrZSwuaVWhcv5FfqeH0,https://i.scdn.co/image/ab67616d0000b273eafaf556eda644a745d0144d
6,Toast,happy,Smith & Thell,66,https://open.spotify.com/track/5hlwCtGdtDBzXeMBJpD5IK,https://i.scdn.co/image/ab67616d0000b273e344b0eb1e920f17f3e952cc
7,Keep Your Head Up,happy,Andy Grammer,71,https://open.spotify.com/track/4Jz4bjXeiF2SXVj9P4YfY5,https://i.scdn.co/image/ab67616d0000b2730c19b3bcdf3823ebe8d980fc
8,Mr. Blue Sky,happy,Electric Light Orchestra,81,https://open.spotify.com/track/2RlgNHKcydI9sayD2Df2xp,https://i.scdn.co/image/ab67616d0000b2738c4e95986c803791125e8991
9,Smile,happy,Benjamin Ingrosso,65,https://open.spotify.com/track/2X97u85uhrMdjPLFZ8Upn8,https://i.scdn.co/image/ab67616d0000b27368ff37ed820f207e0e5a1f28
10,It's a Beautiful Day,happy,Michael Bublé,69,https://open.spotify.com/track/0mvkwaZMP2gAy2ApQLtZRv,https://i.scdn.co/image/ab67616d0000b273051ae642ad4a0c1329b41d99
11,"Happy - From ""Despicable Me 2""",happy,Pharrell Williams,83,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH,https://i.scdn.co/image/ab67616d0000b273e8107e6d9214baa81bb79bba
12,Happy Kids,happy,John De Sohn,57,https://open.spotify.com/track/3Ct8NiRoh0OqFhTTsrwkEc,https://i.scdn.co/image/ab67616d0000b273d9b368ac8d8c15527c9318f0
13,Can You Feel It,happy,Birgir,64,https://open.spotify.com/track/7jEN3nuX9eIIXu7Nz1wslG,https://i.scdn.co/image/ab67616d0000b2734333f6ee8c96d16c23529679
14,Happy Birthday - Traditional,happy,Session Artists,46,https://open.spotify.com/track/2OSHgobA7CSxxLJ5Pr4Y4R,https://i.scdn.co/image/ab67616d0000b273d9de918a9b3bee36886f892f
15,Honeypie,happy,JAWNY,76,https://open.spotify.com/track/6FfLg6FFqhCsrFOaHIGkg0,https://i.scdn.co/image/ab67616d0000b273bf076bd9b8ad8facbb19f473
16,Paper Rings,happy,Taylor Swift,85,https://open.spotify.com/track/4y5bvROuBDPr5fuwXbIBZR,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
17,Life Is Good,happy,Justin Caruso,57,https://open.spotify.com/track/3IfCmk4YbYwaOqtsd4iZqm,https://i.scdn.co/image/ab67616d0000b27311d1b2346c75effba79cc3fc
18,Just A Cloud Away,happy,Pharrell Williams,68,https://open.spotify.com/track/0DGTcMqvVR7fmBXgiG6jz4,https://i.scdn.co/image/ab67616d0000b2730f7d317ad6be5c5ed9eb986b
19,Canyon Moon,happy,Harry Styles,73,https://open.spotify.com/track/5IhzJOXNE7ki0IIJbZbnGq,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
20,Shut Up and Dance,happy,WALK THE MOON,85,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,https://i.scdn.co/image/ab67616d0000b27343294cfa2688055c9d821bf3
21,The Happy Song,happy,Imogen Heap,67,https://open.spotify.com/track/6snoOAATGyud5oaIT9gwws,https://i.scdn.co/image/ab67616d0000b273ca7cad7b1dd4996d643433ef
22,Somebody To You,happy,The Vamps,77,https://open.spotify.com/track/6VrLYoQKdhu1Jruei06t65,https://i.scdn.co/image/ab67616d0000b2739f89b8390933e9ccb3673c89
23,I'm a Believer - 2006 Remaster,happy,The Monkees,77,https://open.spotify.com/track/3G7tRC24Uh09Hmp1KZ7LQ2,https://i.scdn.co/image/ab67616d0000b273360a1ae790aa71a0aac4983e
24,No Eyes On Me - Sondr Remix,happy,"Justin Caruso,Sondr",55,https://open.spotify.com/track/38i0XKHKLg72RTn3i6TmeP,https://i.scdn.co/image/ab67616d0000b27335f23644f3255a2844afb635
25,Take Me To The Sunshine (feat. BullySongs),happy,"Matoma,SUPER-Hi,BullySongs",61,https://open.spotify.com/track/4peF3yGZAZfeOFDahi6Ig5,https://i.scdn.co/image/ab67616d0000b273ccb719e7852d6da534f43033
26,Olivia,happy,One Direction,72,https://open.spotify.com/track/5dONhl6aXFuN86UBdayF6W,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3
27,Lean On Me,happy,Sandro Cavazza,66,https://open.spotify.com/track/43Hit5V2BpPq2vxvca3ysc,https://i.scdn.co/image/ab67616d0000b273e53b654d326569573f231928
28,These Are The Days (feat. Liv Dawson),happy,"Anton Powers,ManyFew,Liv Dawson",58,https://open.spotify.com/track/39GX8fhLrxiPcNAMgZhWUa,https://i.scdn.co/image/ab67616d0000b273ea211565027fe4ef6d9e6c15
29,this is what falling in love feels like,happy,JVKE,82,https://open.spotify.com/track/2PWTZV5znjLtZC5T1EVJvL,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954
30,In My Zone,happy,Tungevaag,61,https://open.spotify.com/track/3LR2EPyj36gxYgCYbC0au0,https://i.scdn.co/image/ab67616d0000b27346a00de795551fd912ace8cd
31,ME! (feat. Brendon Urie of Panic! At The Disco),happy,"Taylor Swift,Brendon Urie,Panic! At The Disco",79,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
32,"Hap, Hap, Hap, Happy Birthday",happy,Parry Gripp,50,https://open.spotify.com/track/5ZG02EkmEPswTNLes6bygO,https://i.scdn.co/image/ab67616d0000b273d5803f83b3d5466232f02d0c
33,If The World Just Danced - MOTi Remix,happy,"Diana Ross,MOTi",63,https://open.spotify.com/track/7kEh6jNlJOAhC0lv6XV3iw,https://i.scdn.co/image/ab67616d0000b273cf7dd0dd5f2c7ea7b78a7d31
34,Little Talks,happy,Of Monsters and Men,81,https://open.spotify.com/track/2ihCaVdNZmnHZWt0fvAM7B,https://i.scdn.co/image/ab67616d0000b273cb3f67e8026e2e493a1e8262
35,Tongue Tied,happy,GROUPLOVE,80,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N,https://i.scdn.co/image/ab67616d0000b273d84a9bbcba91cb6a4a212b1b
36,Look For The Good - Single Version,happy,Jason Mraz,60,https://open.spotify.com/track/4XI5GjQ6zcJXsDnuyOGGEa,https://i.scdn.co/image/ab67616d0000b2731838fae6c49eebe9edb80495
37,Dumb,happy,Jubël,65,https://open.spotify.com/track/4iEJ3AXbzJYSK59SkH3DMu,https://i.scdn.co/image/ab67616d0000b273520fd981cda5197a4050761c
38,Watermelon Sugar,happy,Harry Styles,90,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
39,Safe And Sound,happy,Capital Cities,84,https://open.spotify.com/track/6Z8R6UsFuGXGtiIxiD8ISb,https://i.scdn.co/image/ab67616d0000b27313c6cb6a81c8db4dbc8b9924
40,Uptown Funk (feat. Bruno Mars),happy,"Mark Ronson,Bruno Mars",84,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,https://i.scdn.co/image/ab67616d0000b273e419ccba0baa8bd3f3d7abf2
41,Heaven Falls / Fall on Me,happy,Surfaces,64,https://open.spotify.com/track/7yHqOZfsXYlicyoMt62yC6,https://i.scdn.co/image/ab67616d0000b273d31c5ca0ba296c446a3fe725
42,All Star,happy,"Mike Perry,Hot Shade,TEN TIMES,whoisFIYAH",57,https://open.spotify.com/track/7eqL9wlOJXQDwzdjUbhTT0,https://i.scdn.co/image/ab67616d0000b273c21d5b4ae92248d0f7af3ed5
43,Late Night Talking,happy,Harry Styles,90,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
44,Goliath,happy,Smith & Thell,55,https://open.spotify.com/track/0tS0QcV7V4vxoq2jUXMRI1,https://i.scdn.co/image/ab67616d0000b273c432566e3e4b91151d953068
45,Dancing On A Sunny Day,happy,Benjamin Ingrosso,55,https://open.spotify.com/track/34CNINX3JO5RLVp20GbTwN,https://i.scdn.co/image/ab67616d0000b273681de3c35c66025f85342e47
46,Lucky (feat. Noa Kirel),happy,"Jubël,Noa Kirel",59,https://open.spotify.com/track/1JMDsOUPflzsNN62KEBaH9,https://i.scdn.co/image/ab67616d0000b273bc111a77891e4e2e3a7a8509
47,Dance on My Own (feat. Richard Judge),happy,"Frank Walker,Richard Judge",60,https://open.spotify.com/track/0pMD1V0QbqSD7RhJmxDDJ9,https://i.scdn.co/image/ab67616d0000b2732df592bf95facc920cc65911
48,Good Vibes,happy,"HRVY,Matoma",69,https://open.spotify.com/track/53kWAAfx7IopXRa31MQHB8,https://i.scdn.co/image/ab67616d0000b273e89c808ecfc789a092396b53
49,Believe,happy,"Wolfgang Gartner,NEVRMIND",51,https://open.spotify.com/track/3Hi7sLJG787lwrNG5Qs8Sj,https://i.scdn.co/image/ab67616d0000b273489014238fc958a681c3614a
50,Here Comes The Sun - Remastered 2009,happy,The Beatles,85,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25
51,Walking On Sunshine,happy,Katrina & The Waves,81,https://open.spotify.com/track/05wIrZSwuaVWhcv5FfqeH0,https://i.scdn.co/image/ab67616d0000b273eafaf556eda644a745d0144d
52,"Happy - From ""Despicable Me 2""",happy,Pharrell Williams,83,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH,https://i.scdn.co/image/ab67616d0000b273e8107e6d9214baa81bb79bba
53,Brighter Than The Sun,happy,Colbie Caillat,66,https://open.spotify.com/track/5YTtTbqxUzJHD3CpbNHerP,https://i.scdn.co/image/ab67616d0000b2733baae0836a5b6ee9d649ed14
54,Smile,happy,Benjamin Ingrosso,65,https://open.spotify.com/track/2X97u85uhrMdjPLFZ8Upn8,https://i.scdn.co/image/ab67616d0000b27368ff37ed820f207e0e5a1f28
55,"Hey, Soul Sister",happy,Train,84,https://open.spotify.com/track/4HlFJV71xXKIGcU3kRyttv,https://i.scdn.co/image/ab67616d0000b2736ff8bc258e3ebc835ffe14ca
56,Don't Worry Be Happy,happy,Bobby McFerrin,71,https://open.spotify.com/track/4hObp5bmIJ3PP3cKA9K9GY,https://i.scdn.co/image/ab67616d0000b273a88b9eddbf3650ea0529f2cc
57,Build Me Up Buttercup,happy,The Foundations,71,https://open.spotify.com/track/4eGlvsFXmFqdJrVXe9FbgD,https://i.scdn.co/image/ab67616d0000b2735f57bff1e4ec555cc2560e0d
