,name,category,artist,popularity,urls
0,Woman,happy,Harry Styles,72,https://open.spotify.com/track/33bURv895AN4FkBvgFo2dx
1,Payphone,happy,"Maroon 5,Wiz Khalifa",85,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
2,The Nights,happy,Avicii,87,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
3,Get To Know You,happy,Samantha Harvey,69,https://open.spotify.com/track/3oiLlbBynuErymca4Dwp5H
4,Paper Rings,happy,Taylor Swift,84,https://open.spotify.com/track/4y5bvROuBDPr5fuwXbIBZR
5,Best Day Of My Life,happy,American Authors,80,https://open.spotify.com/track/5Hroj5K7vLpIG4FNCRIjbP
6,"Hap, Hap, Hap, Happy Birthday",happy,Parry Gripp,50,https://open.spotify.com/track/5ZG02EkmEPswTNLes6bygO
7,"Happy Birthday Dear Saturday Club - Live At The BBC For ""Saturday Club"" / 5th October, 1963",happy,The Beatles,50,https://open.spotify.com/track/2UpYmhDZVmzfdsgvLavmfj
8,Don't Worry Be Happy,happy,Bobby McFerrin,71,https://open.spotify.com/track/4hObp5bmIJ3PP3cKA9K9GY
9,"Happy - From ""Despicable Me 2""",happy,Pharrell Williams,82,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH
10,AOK,happy,Tai Verdes,76,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
11,Olivia,happy,One Direction,72,https://open.spotify.com/track/5dONhl6aXFuN86UBdayF6W
12,Better When I'm Dancin',happy,Meghan Trainor,77,https://open.spotify.com/track/5k5fWendNngd89O8JKoE8L
13,Sunroof,happy,"Nicky Youre,dazy",88,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8
14,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",happy,Justin Timberlake,80,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
15,Smile,happy,Benjamin Ingrosso,65,https://open.spotify.com/track/2X97u85uhrMdjPLFZ8Upn8
16,Just A Cloud Away,happy,Pharrell Williams,68,https://open.spotify.com/track/0DGTcMqvVR7fmBXgiG6jz4
17,Somebody To Love,happy,"MARF,Wulf",64,https://open.spotify.com/track/2KTO4mRnARHCqXhV8f6MBj
18,Mr. Blue Sky,happy,Electric Light Orchestra,81,https://open.spotify.com/track/2RlgNHKcydI9sayD2Df2xp
19,Geronimo,happy,Sheppard,72,https://open.spotify.com/track/0qt5f5EL92o8Snzopsv0en
20,Out of My League,happy,Fitz and The Tantrums,74,https://open.spotify.com/track/2AYEOC02WLhUiOoaig2SEH
21,Sunday Best,happy,Surfaces,77,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
22,Walking On Sunshine,happy,Katrina & The Waves,80,https://open.spotify.com/track/05wIrZSwuaVWhcv5FfqeH0
23,Say Hey (I Love You) (feat. Cherine Tanya Anderson),happy,"Michael Franti & Spearhead,Cherine Tanya Anderson",66,https://open.spotify.com/track/383B8ksM58jbV3HbiRJo0K
24,Uptown Funk (feat. Bruno Mars),happy,"Mark Ronson,Bruno Mars",84,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
25,Golden,happy,Harry Styles,82,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
26,Good Time,happy,"Owl City,Carly Rae Jepsen",79,https://open.spotify.com/track/1kPpge9JDLpcj15qgrPbYX
27,Lose Control,happy,"220 KID,S1mba",59,https://open.spotify.com/track/5ugYo7xM632grP29JqjxZa
28,Suddenly I See,happy,KT Tunstall,74,https://open.spotify.com/track/5p9XWUdvbUzmPCukOmwoU3
29,Lucky (feat. Noa Kirel),happy,"Jubël,Noa Kirel",59,https://open.spotify.com/track/1JMDsOUPflzsNN62KEBaH9
30,this is what falling in love feels like,happy,JVKE,82,https://open.spotify.com/track/2PWTZV5znjLtZC5T1EVJvL
31,Legit,happy,"Erlandsson,The High",60,https://open.spotify.com/track/5p0aallQlnYrQmHI10BASz
32,Shake It Off,happy,Taylor Swift,84,https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD
33,Hug Me,happy,"Pharrell Williams,Trey Parker",70,https://open.spotify.com/track/6eVM9lCmIqwGTUOoeH61Lu
34,I Want You Back,happy,The Jackson 5,79,https://open.spotify.com/track/5LxvwujISqiB8vpRYv887S
35,Best Friend,happy,Rex Orange County,78,https://open.spotify.com/track/3rPtS4nfpy7PsARctAWpzd
36,Happy birthday to you,happy,Happy Birthday Song,47,https://open.spotify.com/track/56alWioOL5f1Sx60PjDD0D
37,At Least I Had Fun,happy,"Martin Jensen,RANI",67,https://open.spotify.com/track/7jqXDgGWkV4w2ctdb2g59o
38,"Honey, I'm Good.",happy,Andy Grammer,73,https://open.spotify.com/track/4MflGTO2ZTcSQ12bWcyRgI
39,Happy birthday,happy,옐로우페이퍼,45,https://open.spotify.com/track/5MypYZZCEMplPOpx7vpGpZ
40,"Hey, Soul Sister",happy,Train,84,https://open.spotify.com/track/4HlFJV71xXKIGcU3kRyttv
41,In My Zone,happy,Tungevaag,61,https://open.spotify.com/track/3LR2EPyj36gxYgCYbC0au0
42,Relight My Love,happy,"Matisse & Sadko,Mougleta",55,https://open.spotify.com/track/6dKDKwtdZtGlR8e1tZGEYS
43,Brighter Than The Sun,happy,Colbie Caillat,66,https://open.spotify.com/track/5YTtTbqxUzJHD3CpbNHerP
44,Good Vibes,happy,"HRVY,Matoma",69,https://open.spotify.com/track/53kWAAfx7IopXRa31MQHB8
45,Higher Love,happy,"Ali Story,Maria Mathea",54,https://open.spotify.com/track/2yCyr5ZJHDm9CzpPRdduJ9
46,Canyon Moon,happy,Harry Styles,73,https://open.spotify.com/track/5IhzJOXNE7ki0IIJbZbnGq
47,These Are The Days (feat. Liv Dawson),happy,"Anton Powers,ManyFew,Liv Dawson",58,https://open.spotify.com/track/39GX8fhLrxiPcNAMgZhWUa
48,My Life (feat. Joe Killington),happy,"Wh0,Armand Van Helden,Joe Killington",52,https://open.spotify.com/track/5IhCWukOzeazDOHKCKARki
49,Shut Up And Dance With Me,happy,Fun Guns,66,https://open.spotify.com/track/4KYAV74fzH1rUipmxXejw1
50,Don't Worry Be Happy,happy,Bobby McFerrin,71,https://open.spotify.com/track/4hObp5bmIJ3PP3cKA9K9GY
51,You Make My Dreams (Come True),happy,Daryl Hall & John Oates,80,https://open.spotify.com/track/4o6BgsqLIBViaGVbx5rbRk
52,Dancing in the Moonlight,happy,Toploader,79,https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od
53,Send Me On My Way,happy,Rusted Root,70,https://open.spotify.com/track/6XK6Zw6JkFsHXzAcMWNiIr
54,Tongue Tied,happy,GROUPLOVE,80,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
55,AOK,happy,Tai Verdes,76,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
56,Sunroof,happy,"Nicky Youre,dazy",88,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8
57,Sunday Best,happy,Surfaces,77,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
58,Made You Look,happy,Meghan Trainor,91,https://open.spotify.com/track/0QHEIqNKsMoOY5urbzN48u
